what,kind,bundleId,bundleVersion,description,time
started,bundle,org.lejos.ev3.ldt,0.1.0.201405151034,"org.lejos.ev3.ldt",1418118168731
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1418118168786
started,bundle,org.eclipse.jdt.launching,3.5.100.v20100526,"org.eclipse.jdt.launching",1418118168843
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1418118170200
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1418118204529
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1418118206068
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1418118210727
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1418118215172
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1418118215605
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1418118215837
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1418118215839
stopped,bundle,org.eclipse.ant.launching,1.0.0.v20100427,"org.eclipse.ant.launching",1418118215841
stopped,bundle,org.eclipse.compare.win32,1.0.100.I20100505-1245,"org.eclipse.compare.win32",1418118215843
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1418118215937
stopped,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1418118215985
stopped,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1418118215987
stopped,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1418118215989
